prompt,question_type,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_k,option_l,option_m,option_n,option_o,option_p,option_q,option_r,option_s,option_t,option_u,option_v,option_w,option_x,option_y,option_z,correct_answer,points,difficulty,instructions,passage,group_label,turn_type,preparation_seconds,response_seconds,adaptive_follow_up,part_code
The example of the driver is used to illustrate -,mcq_single,indirect rebound,direct rebound,backfire,the failure of efficiency standards,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,"The rebound effect

When a technology becomes more efficient, the intuitive expectation is that it will consume less. A refrigerator that uses half the electricity of its predecessor should, on that reasoning, halve the household's cooling bill. Economists have known for over a century that this expectation is frequently disappointed, and the reason has a name: the rebound effect.

The mechanism is not mysterious. Efficiency lowers the cost of using a service, and when something becomes cheaper, people tend to use more of it. A driver who replaces an old car with one that travels twice as far on a litre of fuel has, in effect, halved the price of a kilometre - and may respond by driving further, or by moving further from work. The saving is not eliminated, but part of it is spent rather than banked. Economists call this the direct rebound.

The indirect rebound is harder to see and harder to measure. Money not spent on fuel does not vanish; it is spent on something else, and that something else has an energy cost of its own. A household that saves two hundred pounds a year on heating and spends it on a short flight may end the year having increased its emissions. At the level of a whole economy the effect compounds further: cheaper energy services make energy-intensive production more attractive, which is one reason the enormous efficiency gains of the industrial era were accompanied by rising, not falling, total consumption.

The size of the effect is disputed, and the dispute matters. Most estimates for household energy in wealthy countries put direct rebound somewhere between ten and thirty per cent - meaning the majority of the intended saving is still realised. A minority of researchers argue that once economy-wide effects are included, rebound can approach or even exceed one hundred per cent, a proposition known as backfire. Backfire remains contested, and the evidence for it at national scale is thin.

What follows for policy is less that efficiency fails than that it rarely works alone. Where efficiency lowers the cost of a service, a carbon price or a tax can hold that cost steady, allowing the technical gain to be kept rather than spent. Efficiency standards paired with pricing consistently outperform either instrument used by itself. The lesson is not that we should stop making things more efficient. It is that efficiency changes what a service costs, and people notice prices.",,,,,,Reading 4
What does the passage say about the household that saves on heating?,mcq_single,It will always reduce its total emissions,It typically saves the money rather than spending it,Its overall emissions may rise despite the saving,Its saving is cancelled out by higher heating costs later,,,,,,,,,,,,,,,,,,,,,,,C,1,medium,,"The rebound effect

When a technology becomes more efficient, the intuitive expectation is that it will consume less. A refrigerator that uses half the electricity of its predecessor should, on that reasoning, halve the household's cooling bill. Economists have known for over a century that this expectation is frequently disappointed, and the reason has a name: the rebound effect.

The mechanism is not mysterious. Efficiency lowers the cost of using a service, and when something becomes cheaper, people tend to use more of it. A driver who replaces an old car with one that travels twice as far on a litre of fuel has, in effect, halved the price of a kilometre - and may respond by driving further, or by moving further from work. The saving is not eliminated, but part of it is spent rather than banked. Economists call this the direct rebound.

The indirect rebound is harder to see and harder to measure. Money not spent on fuel does not vanish; it is spent on something else, and that something else has an energy cost of its own. A household that saves two hundred pounds a year on heating and spends it on a short flight may end the year having increased its emissions. At the level of a whole economy the effect compounds further: cheaper energy services make energy-intensive production more attractive, which is one reason the enormous efficiency gains of the industrial era were accompanied by rising, not falling, total consumption.

The size of the effect is disputed, and the dispute matters. Most estimates for household energy in wealthy countries put direct rebound somewhere between ten and thirty per cent - meaning the majority of the intended saving is still realised. A minority of researchers argue that once economy-wide effects are included, rebound can approach or even exceed one hundred per cent, a proposition known as backfire. Backfire remains contested, and the evidence for it at national scale is thin.

What follows for policy is less that efficiency fails than that it rarely works alone. Where efficiency lowers the cost of a service, a carbon price or a tax can hold that cost steady, allowing the technical gain to be kept rather than spent. Efficiency standards paired with pricing consistently outperform either instrument used by itself. The lesson is not that we should stop making things more efficient. It is that efficiency changes what a service costs, and people notice prices.",,,,,,Reading 4
How does the writer treat the idea of backfire?,mcq_single,As the established consensus among economists,As a minority position that is not well supported,As proof that efficiency policy should be abandoned,As a phenomenon confined to household energy use,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,"The rebound effect

When a technology becomes more efficient, the intuitive expectation is that it will consume less. A refrigerator that uses half the electricity of its predecessor should, on that reasoning, halve the household's cooling bill. Economists have known for over a century that this expectation is frequently disappointed, and the reason has a name: the rebound effect.

The mechanism is not mysterious. Efficiency lowers the cost of using a service, and when something becomes cheaper, people tend to use more of it. A driver who replaces an old car with one that travels twice as far on a litre of fuel has, in effect, halved the price of a kilometre - and may respond by driving further, or by moving further from work. The saving is not eliminated, but part of it is spent rather than banked. Economists call this the direct rebound.

The indirect rebound is harder to see and harder to measure. Money not spent on fuel does not vanish; it is spent on something else, and that something else has an energy cost of its own. A household that saves two hundred pounds a year on heating and spends it on a short flight may end the year having increased its emissions. At the level of a whole economy the effect compounds further: cheaper energy services make energy-intensive production more attractive, which is one reason the enormous efficiency gains of the industrial era were accompanied by rising, not falling, total consumption.

The size of the effect is disputed, and the dispute matters. Most estimates for household energy in wealthy countries put direct rebound somewhere between ten and thirty per cent - meaning the majority of the intended saving is still realised. A minority of researchers argue that once economy-wide effects are included, rebound can approach or even exceed one hundred per cent, a proposition known as backfire. Backfire remains contested, and the evidence for it at national scale is thin.

What follows for policy is less that efficiency fails than that it rarely works alone. Where efficiency lowers the cost of a service, a carbon price or a tax can hold that cost steady, allowing the technical gain to be kept rather than spent. Efficiency standards paired with pricing consistently outperform either instrument used by itself. The lesson is not that we should stop making things more efficient. It is that efficiency changes what a service costs, and people notice prices.",,,,,,Reading 4
It can be inferred from the final paragraph that the writer would most likely support -,mcq_single,replacing efficiency standards with carbon pricing,combining efficiency standards with carbon pricing,removing taxes on energy-efficient products,delaying efficiency standards until rebound is fully understood,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,"The rebound effect

When a technology becomes more efficient, the intuitive expectation is that it will consume less. A refrigerator that uses half the electricity of its predecessor should, on that reasoning, halve the household's cooling bill. Economists have known for over a century that this expectation is frequently disappointed, and the reason has a name: the rebound effect.

The mechanism is not mysterious. Efficiency lowers the cost of using a service, and when something becomes cheaper, people tend to use more of it. A driver who replaces an old car with one that travels twice as far on a litre of fuel has, in effect, halved the price of a kilometre - and may respond by driving further, or by moving further from work. The saving is not eliminated, but part of it is spent rather than banked. Economists call this the direct rebound.

The indirect rebound is harder to see and harder to measure. Money not spent on fuel does not vanish; it is spent on something else, and that something else has an energy cost of its own. A household that saves two hundred pounds a year on heating and spends it on a short flight may end the year having increased its emissions. At the level of a whole economy the effect compounds further: cheaper energy services make energy-intensive production more attractive, which is one reason the enormous efficiency gains of the industrial era were accompanied by rising, not falling, total consumption.

The size of the effect is disputed, and the dispute matters. Most estimates for household energy in wealthy countries put direct rebound somewhere between ten and thirty per cent - meaning the majority of the intended saving is still realised. A minority of researchers argue that once economy-wide effects are included, rebound can approach or even exceed one hundred per cent, a proposition known as backfire. Backfire remains contested, and the evidence for it at national scale is thin.

What follows for policy is less that efficiency fails than that it rarely works alone. Where efficiency lowers the cost of a service, a carbon price or a tax can hold that cost steady, allowing the technical gain to be kept rather than spent. Efficiency standards paired with pricing consistently outperform either instrument used by itself. The lesson is not that we should stop making things more efficient. It is that efficiency changes what a service costs, and people notice prices.",,,,,,Reading 4
The writer's main purpose in the passage is to -,mcq_single,warn that efficiency measures are ineffective and should be replaced,explain a well-documented effect and what it implies for policy,compare energy consumption in wealthy and developing economies,argue that economists have misunderstood household behaviour,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,"The rebound effect

When a technology becomes more efficient, the intuitive expectation is that it will consume less. A refrigerator that uses half the electricity of its predecessor should, on that reasoning, halve the household's cooling bill. Economists have known for over a century that this expectation is frequently disappointed, and the reason has a name: the rebound effect.

The mechanism is not mysterious. Efficiency lowers the cost of using a service, and when something becomes cheaper, people tend to use more of it. A driver who replaces an old car with one that travels twice as far on a litre of fuel has, in effect, halved the price of a kilometre - and may respond by driving further, or by moving further from work. The saving is not eliminated, but part of it is spent rather than banked. Economists call this the direct rebound.

The indirect rebound is harder to see and harder to measure. Money not spent on fuel does not vanish; it is spent on something else, and that something else has an energy cost of its own. A household that saves two hundred pounds a year on heating and spends it on a short flight may end the year having increased its emissions. At the level of a whole economy the effect compounds further: cheaper energy services make energy-intensive production more attractive, which is one reason the enormous efficiency gains of the industrial era were accompanied by rising, not falling, total consumption.

The size of the effect is disputed, and the dispute matters. Most estimates for household energy in wealthy countries put direct rebound somewhere between ten and thirty per cent - meaning the majority of the intended saving is still realised. A minority of researchers argue that once economy-wide effects are included, rebound can approach or even exceed one hundred per cent, a proposition known as backfire. Backfire remains contested, and the evidence for it at national scale is thin.

What follows for policy is less that efficiency fails than that it rarely works alone. Where efficiency lowers the cost of a service, a carbon price or a tax can hold that cost steady, allowing the technical gain to be kept rather than spent. Efficiency standards paired with pricing consistently outperform either instrument used by itself. The lesson is not that we should stop making things more efficient. It is that efficiency changes what a service costs, and people notice prices.",,,,,,Reading 4
The chart shows how three departments used online training hours over one quarter. Summarise the information and make comparisons where relevant.,essay,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,medium,Write 150-200 words.,"Department A used 120 hours in April, 145 in May, and 160 in June. Department B used 90, 110, and 150 hours. Department C used 140, 130, and 125 hours.",,,,,,Writing 1
Some universities are replacing large lectures with smaller online discussion groups. To what extent do you think this is a positive development?,essay,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,medium,Write at least 250 words.,,,,,,,Writing 2
Please confirm your full name and where you are from.,speaking_prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,medium,,,,identity,0,30,,Speaking 1
Tell me about a subject you enjoy studying.,speaking_prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,medium,,,,topic_question,0,30,,Speaking 1
What do you usually do after classes?,speaking_prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,medium,,,,topic_question,0,30,,Speaking 1
You are at a hotel reception. Ask the receptionist to change your room because it is noisy.,speaking_prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,medium,,,,roleplay_initiate,0,60,,Speaking 2
I am the receptionist. I will ask you about a booking problem. Respond politely and ask for a solution.,speaking_prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,medium,,,,roleplay_response,0,60,,Speaking 2
Read this notice aloud: The college library will close at 5 pm on Friday because maintenance work is planned for the evening.,speaking_prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,medium,,,,read_aloud,20,90,,Speaking 3
Why do public notices need to be clear?,speaking_prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,medium,,,,follow_up,0,40,,Speaking 3
Tell me about a time when instructions helped you complete a task.,speaking_prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,medium,,,,follow_up,0,40,,Speaking 3
"Give a short presentation about a useful skill you learned recently. Explain what the skill is, how you learned it, and why it is useful.",speaking_prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,medium,,,,presentation,60,120,,Speaking 4
Would you prefer to learn practical skills online or in person?,speaking_prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,medium,,,,follow_up,0,40,,Speaking 4
How can schools encourage students to keep learning after graduation?,speaking_prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,medium,,,,follow_up,0,40,,Speaking 4
